    n;             min;             max;             avg;             mea;             bpc;             dev;
  356;     1375838.000;     1409400.000;     1392619.000;     1380451.900;           0.000;           0.596;
  357;     1205366.000;     1296602.000;     1250984.000;     1213047.700;           0.000;           1.650;
  358;     1218246.000;     1763520.000;     1490883.000;     1249171.800;           0.000;           9.701;
  359;     1224768.000;     1325178.000;     1274973.000;     1233494.400;           0.000;           1.816;
  360;     1506558.000;     1568482.000;     1537520.000;     1512822.200;           0.000;           0.916;
  361;     1232872.000;     1457388.000;     1345130.000;     1255615.500;           0.000;           4.290;
  362;     1242980.000;     1267776.000;     1255378.000;     1249496.000;           0.000;           0.549;
  363;     1244760.000;     2094304.000;     1669532.000;     1343291.600;           0.000;          16.262;
  364;     1463858.000;     2150398.000;     1807128.000;     1512943.800;           0.000;          10.160;
  365;     1261922.000;     1734780.000;     1498351.000;     1301687.900;           0.000;           8.454;
  366;     1790310.000;     1806796.000;     1798553.000;     1795558.500;           0.000;           0.264;
